title,yearReleased,runtimeinmins,genre,rating
Biyahera,2002,101,Drama            ,8.2
Biyaya ng lupa,1959,111,Drama            ,7.3
Biyernes Santo,2021,90,Horror            ,4.0
Black Fire,1985,85,"Action, Crime            ",5.6
Black Lipstick,2019,107,"Drama, Romance            ",8.4
Black Mama White Mama,1973,87,"Crime, Drama, Thriller            ",5.5
Black Mamba,1974,92,Horror            ,4.4
Black Market Love,2008,88,Drama            ,7.1
Blackout,2007,85,Thriller            ,6.5
Blind Rage,1976,80,"Action, Comedy            ",4.0
Bliss,2017,100,"Drama, Horror, Mystery            ",6.5
Block Z,2020,101,"Action, Horror, Thriller            ",5.5
Blood Chase,1991,93,"Action, Thriller            ",4.4
Blood Debts,1985,86,"Action, Crime, Thriller            ",4.4
Blood Hands,1990,89,Action            ,4.3
Blood of Bataan,1953,78,"Drama, War            ",4.6
Blood War,1986,89,Action            ,3.9
Bloodfist 2050,2005,78,Action            ,3.1
Bloodfist II,1990,85,"Action, Sport            ",4.8
Bloody Crayons,2017,109,"Horror, Mystery, Thriller            ",4.9
Blue Bustamante,2013,87,Comedy            ,7.7
Blue Moon,2006,108,"Drama, Romance            ",7.6
Boatman,1985,115,Drama            ,7.4
Bobby Barbers: Parak,1997,116,"Crime, Action, Drama            ",7.8
Bodyguard: Masyong Bagwisa Jr.,1986,86,Action            ,3.4
Bola,2012,95,Drama            ,6.9
Bomba,2017,94,Drama            ,4.9
Bomba Star,1978,102,Drama            ,7.6
Bona,1980,85,Drama            ,7.5
Bondying: The Little Big Boy,1989,104,Comedy            ,8.0
Bongee Bear and the Kingdom of Rhythm,2019,90,Animation            ,6.5
Boni and Clyde,1981,93,"Comedy, Crime            ",6.8
Bonifacio: Ang unang pangulo,2014,100,"Drama, History            ",6.5
Booba,2001,99,Comedy            ,6.7
Booking,2009,81,Drama            ,6.2
Born Beautiful,2019,96,Comedy            ,5.4
Born to Love You,2012,105,"Drama, Romance            ",6.8
Boses,2008,100,Drama            ,7.1
Boso,2005,99,Comedy            ,4.5
Boundary,2011,87,"Crime, Drama            ",7.1
Boy,2009,80,"Drama, Romance            ",5.8
Boy bastos,2022,116,Comedy            ,7.6
Boy Golden,2013,131,Drama            ,6.1
Boy Negro,1988,95,"Action, Drama            ",6.5
Boy Pick-Up: The Movie,2012,107,Comedy            ,5.3
Boyette: Not a Girl Yet,2020,112,"Comedy, Romance            ",6.9
Boylets,2009,88,Drama            ,6.1
Brat Pack,1994,113,Action            ,4.2
Bridal Shower,2004,132,"Drama, Comedy, Romance            ",6.6
Bride for Rent,2014,115,"Comedy, Romance            ",6.4
Brides of Blood,1968,97,"Horror, Sci-Fi            ",5.0
Brod,2010,90,Drama            ,4.3
Broken Marriage,1983,106,Drama            ,7.0
Bromance: My Brother's Romance,2013,105,Comedy            ,5.5
Brown Emmanuelle,1982,98,Drama            ,7.8
Bruce's Fists of Vengeance,1980,87,Action            ,4.3
"Brutus, ang paglalakbay",2008,110,"Adventure, Drama            ",8.1
Bugbog sarado,2003,85,"Drama, Mystery, Thriller            ",5.8
Buhawi Jack,1998,120,"Action, Fantasy            ",5.2
Buhay kamao,2001,117,Action            ,6.8
Bukas luluhod ang mga tala,1984,132,"Drama, Musical, Romance            ",6.2
Bukas na lang kita mamahalin,2000,110,"Drama, Romance            ",6.8
Bukas na lang sapagkat gabi na,2013,106,Drama            ,5.7
Buko Pandan,2002,107,Drama            ,5.5
Bulaklak ng Maynila,1999,101,Drama            ,6.5
Bulaklak sa City Jail,1984,110,Drama            ,7.7
Bulong,2011,105,"Comedy, Horror            ",6.4
Bunso: The Youngest,2005,64,Documentary            ,8.9
Burger Boy's,1999,103,"Comedy, Crime, Fantasy            ",6.0
Burlesk King,1999,109,Drama            ,5.5
Burlesk Queen,1977,129,"Drama, Romance            ",7.4
Burning Power,1985,98,Action            ,5.7
Busong,2011,93,Drama            ,7.1
Butas,2009,90,Drama            ,5.7
Butas 2,2012,90,Drama            ,8.1
"Buy Now, Die Later",2015,118,Horror            ,5.4
BuyBust,2018,127,"Action, Crime, Thriller            ",5.7
Bwakaw,2012,110,Drama            ,7.1
Bwaya,2014,88,Drama            ,6.8
Caged Fury,1983,89,"Crime, Drama            ",3.8
Caged Heat II: Stripped of Freedom,1994,72,"Action, Crime, Thriller            ",3.7
Cain at Abel,1982,112,"Action, Drama            ",6.9
Call Center Girl,2013,107,"Comedy, Drama            ",5.8
Calvento Files: The Movie,1997,129,"Crime, Drama, Thriller            ",7.9
Camp Sawi,2016,109,Comedy            ,6.8
Campus Crush,2009,87,"Comedy, Drama, Romance            ",4.7
Campus Girls,1995,113,"Comedy, Drama            ",6.9
Campus Scandal,1998,90,Drama            ,5.8
Can This Be Love,2005,106,"Comedy, Romance            ",6.3
Can We Still Be Friends?,2017,113,Romance            ,6.4
Can't Help Falling in Love,2017,119,"Comedy, Drama, Romance            ",6.9
Captain Barbell,2003,115,"Adventure, Comedy, Fantasy            ",4.8
Cara x Jagger,2019,91,Drama            ,6.7
Caregiver,2008,130,Drama            ,6.3
Cari̱o brutal,1998,104,"Action, Drama            ",8.3
Carnivore,2008,83,Drama            ,5.5
Casa,2007,87,"Romance, Thriller, War            ",8.0
Catch Me... I'm in Love,2011,110,"Comedy, Drama, Romance            ",5.9
Cavite,2005,80,Thriller            ,6.0
Cedie,1996,114,Family            ,8.2
Chain Mail,2015,81,"Drama, Horror, Mystery            ",4.6
Changing Partners,2017,92,Drama            ,7.6
Chasing Fire,2013,108,"Crime, Drama, Romance            ",5.3
Chassis,2010,73,Drama            ,5.5
Cheeta-eh: Ganda lalake?,1991,101,"Action, Comedy, Fantasy            ",6.9
Children's Show,2014,85,Drama            ,6.9
Chopsuey,2007,102,Drama            ,6.7
Cinco,2010,151,"Comedy, Drama, Horror            ",6.3
Circa,2019,100,Drama            ,6.2
Circle of Bones,2020,80,"Action, Horror            ",3.3
Citizen Jake,2018,137,Drama            ,6.5
City After Dark,1980,150,Drama            ,7.0
Clarita,2019,85,"Drama, Horror, Mystery            ",5.6
Class of 2018,2018,119,"Horror, Thriller            ",6.6
Classified Operation,1982,84,Action            ,3.7
Cleaners,2019,78,Comedy            ,7.1
